pathway,size,snpPval,dnamPval,rnaseqPval,snpFDR,dnamFDR,rnaseqFDR,drivers,MiniMax,MiniMaxP,MiniMaxFDR
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,74,0.00702229789819988,0.993321037599257,0.00583740084204027,0.218965590760866,1,0.03114379771280621,RNAseq and SNP,0.00702229789819988,1.4724542682670062e-4,0.014694401139399692
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,22,0.575614520501431,7.2872763752586e-4,0.00717589672502863,0.999201393685791,0.147463242650769,0.03623763889840662,DNAm and RNAseq,0.00717589672502863,1.537414574376717e-4,0.014694401139399692
REACTOME_SIGNALING_BY_VEGF,102,0.0846124885084762,0.00733577051191366,2.2786002954998895e-4,0.870933107525341,0.451719927108996,0.00400948735226781,DNAm and RNAseq,0.00733577051191366,1.6065105961197482e-4,0.014694401139399692
KEGG_ENDOCYTOSIS,177,0.00733901739640333,0.327714517344449,2.71138817929304e-4,0.223011431851998,1,0.00454518503664922,RNAseq and SNP,0.00733901739640333,1.6079295281376296e-4,0.014694401139399692
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,131,0.0604825349078472,0.007448823160483,0.0075477016003334,0.783532583514231,0.451719927108996,0.0371226365169176,DNAm and RNAseq,0.0075477016003334,1.700434464409086e-4,0.015027542561563934
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,25,0.461854582057143,0.00765823203927935,7.556062718198475e-4,0.999201393685791,0.451719927108996,0.00846099829274951,DNAm and RNAseq,0.00765823203927935,1.7504726598362508e-4,0.015027542561563934
PID_BCR_5PATHWAY,60,0.289706471086007,0.00779538307240891,0.00457326979793703,0.999201393685791,0.451719927108996,0.02687982020239757,DNAm and RNAseq,0.00779538307240891,1.81356572102653e-4,0.015111269669612234
REACTOME_INFLUENZA_INFECTION,149,0.00808607165090453,0.99990865847721,1.0885796895863869e-4,0.240775105677548,1,0.0026816924005202,RNAseq and SNP,0.00808607165090453,1.9509625584164785e-4,0.015791648365696808
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,166,0.00847090092142441,0.871197195722328,0.00650664840495035,0.249362145874431,1,0.03400984304653939,RNAseq and SNP,0.00847090092142441,2.1405280857703392e-4,0.016844766852742697
REACTOME_HCMV_EARLY_EVENTS,98,0.00879173722271108,0.93583506061682,2.2786002954998895e-4,0.256138653519397,1,0.00400948735226781,RNAseq and SNP,0.00879173722271108,2.3052482179273783e-4,0.017650724868616924
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,92,0.312125298892595,0.00912182058804163,8.629696014522957e-5,0.999201393685791,0.478557735665221,0.0023968557656023,DNAm and RNAseq,0.00912182058804163,2.4810482272596843e-4,0.018496867441649172
PID_RAC1_PATHWAY,52,0.541640515786613,0.0096760983931182,1.3685513261777338e-5,0.999201393685791,0.486309015536155,7.325607778214517e-4,DNAm and RNAseq,0.0096760983931182,2.790687545314795e-4,0.02027184055353029
PID_ERBB1_DOWNSTREAM_PATHWAY,103,0.775594885782535,0.010127861601353,7.727257743712568e-5,0.999201393685791,0.486309015536155,0.0022664180494593,DNAm and RNAseq,0.010127861601353,3.056430397916099e-4,0.021647168293240773
WP_ADIPOGENESIS,128,0.0510054598644058,0.00663889840441974,0.01053680654044299,0.755359751046515,0.451719927108996,0.04635213187744564,DNAm and RNAseq,0.01053680654044299,3.307331932384887e-4,0.022852856986454596
REACTOME_INOSITOL_PHOSPHATE_METABOLISM,44,0.0592829010581319,0.0114231315330029,2.142565614931384e-4,0.782502668675262,0.497872794353804,0.00389095409429526,DNAm and RNAseq,0.0114231315330029,3.884826403932886e-4,0.026204079053194915
WP_COPPER_HOMEOSTASIS,51,0.0116947481317475,0.552094179715801,0.00710153576983997,0.324013315885474,1,0.03592616220706545,RNAseq and SNP,0.0116947481317475,4.071024872285299e-4,0.026821426658568025
KEGG_ASTHMA,26,7.06060599730527e-76,0.0119437957106402,0.8811188811188811,6.65109084946156e-73,0.502031314373423,0.9077126509853782,DNAm and SNP,0.0119437957106402,4.245551013512242e-4,0.027119874522519773
REACTOME_PARASITE_INFECTION,56,0.0676690897944131,0.00599670960429369,0.01203136552757369,0.803499360331981,0.447070481814843,0.05049608672535743,DNAm and RNAseq,0.01203136552757369,4.3077809866339206e-4,0.027119874522519773
KEGG_MTOR_SIGNALING_PATHWAY,49,0.388529849417905,0.0124217573773112,0.00934116187841357,0.999201393685791,0.502031314373423,0.04289061847900429,DNAm and RNAseq,0.0124217573773112,4.590668132960143e-4,0.02827252787103497
KEGG_LEISHMANIA_INFECTION,67,2.8248753910667798e-62,0.0125817943242192,0.03996003996003996,5.702212753681939e-60,0.502031314373423,0.1061977422202563,DNAm and SNP,0.0125817943242192,4.709212102040882e-4,0.0283855274150677
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,93,0.481502106191308,0.0129166815614515,1.3268699235156136e-5,0.999201393685791,0.50420990183928,7.325607778214517e-4,DNAm and RNAseq,0.0129166815614515,4.962119322602461e-4,0.029286841751943276
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,76,0.0137231859821314,0.647670932119583,0.00220140361172499,0.365865316844372,1,0.01703982631698612,RNAseq and SNP,0.0137231859821314,5.598086396237778e-4,0.03236607910314618
WP_GENES_INVOLVED_IN_MALE_INFERTILITY,134,2.34851541468319e-6,0.810708725637962,0.01457212097065838,1.6187572102182e-4,1,0.05781907382335462,RNAseq and SNP,0.01457212097065838,6.308514448709611e-4,0.03506475429528663
REACTOME_TRNA_PROCESSING,103,0.0145766282001229,0.999884779966576,7.739237780110305e-4,0.379378770953612,1,0.00853122981753015,RNAseq and SNP,0.0145766282001229,6.312398408258447e-4,0.03506475429528663
WP_CAMKK2_PATHWAY,33,0.836629855284079,0.00641149224398692,0.0147215773181676,0.999201393685791,0.451719927108996,0.05824892254520783,DNAm and RNAseq,0.0147215773181676,6.437934532639567e-4,0.035074362559553644
PID_P53_DOWNSTREAM_PATHWAY,135,0.120159860390247,0.0150511472123874,0.00197941884935214,0.934578094460846,0.538377868600959,0.01584094237348766,DNAm and RNAseq,0.0150511472123874,6.72791812779182e-4,0.035962626520819295
WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,25,1.6021933292616698e-30,0.0153450826728649,0.962037962037962,1.37206010560408e-28,0.538377868600959,0.9702575815071364,DNAm and SNP,0.0153450826728649,6.991880255319025e-4,0.0366814754876274
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K,12,0.136963951037909,0.0155358302475828,0.01502049005189467,0.956800628105521,0.538377868600959,0.05893774005127093,DNAm and RNAseq,0.0155358302475828,7.165865456572193e-4,0.03691072152448913
BIOCARTA_D4GDI_PATHWAY,12,0.0090759723705478,1,0.01577071714002364,0.259077756759273,1,0.06111961923076192,RNAseq and SNP,0.01577071714002364,7.383017131314497e-4,0.03735015630895352
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY,127,0.251361216703851,0.0160822127481708,1.6684820439455905e-6,0.999201393685791,0.542391770423427,1.9695040127074408e-4,DNAm and RNAseq,0.0160822127481708,7.675937718818979e-4,0.03769422762647145
REACTOME_DAP12_INTERACTIONS,38,0.0161255507986675,0.00540152786522656,0.04695304695304695,0.40261772957832,0.445280597572864,0.11771502833449736,DNAm and SNP,0.0161255507986675,7.717138024480565e-4,0.03769422762647145
SIG_BCR_SIGNALING_PATHWAY,45,0.475938019518271,0.0171898099639319,0.00427582813668343,0.999201393685791,0.562548114497097,0.02610651101556935,DNAm and RNAseq,0.0171898099639319,8.763098807960546e-4,0.04207772698805462
BIOCARTA_GH_PATHWAY,27,0.416532465301166,0.0175772179448911,0.00859388556192205,0.999201393685791,0.562548114497097,0.04030873807437944,DNAm and RNAseq,0.0175772179448911,9.160145070778704e-4,0.04325115164252678
WP_TARGET_OF_RAPAMYCIN_TOR_SIGNALING,35,0.715543635528849,0.0182715544714081,0.01322701450242926,0.999201393685791,0.562548114497097,0.05422884527551679,DNAm and RNAseq,0.0182715544714081,9.893492023448926e-4,0.04511028622649416
KEGG_CELL_ADHESION_MOLECULES_CAMS,123,0.0183168503030132,0.00331760132196249,0.3706293706293706,0.44242238424201,0.427216570232715,0.467911322189397,DNAm and SNP,0.0183168503030132,9.942301518957477e-4,0.04511028622649416
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,73,0.31669825165152,0.0185784163945268,7.840062437240108e-5,0.999201393685791,0.562548114497097,0.0022664180494593,DNAm and RNAseq,0.0185784163945268,0.001022647705601187,0.04511028622649416
WP_TCELL_ANTIGEN_RECEPTOR_TCR_SIGNALING_PATHWAY,86,0.494137807796602,0.0187697202197869,0.00268237224634112,0.999201393685791,0.562548114497097,0.01984115032345797,DNAm and RNAseq,0.0187697202197869,0.0010436819565334849,0.04511028622649416
BIOCARTA_AGPCR_PATHWAY,11,0.599862076081754,0.0118938612979435,0.0187745797146894,0.999201393685791,0.502031314373423,0.06827777192774723,DNAm and RNAseq,0.0187745797146894,0.0010442190208060404,0.04511028622649416
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,57,0.0190398903455654,0.974804586089161,6.91495045822583e-4,0.452157395937545,1,0.00802871092137449,RNAseq and SNP,0.0190398903455654,0.0010737476890966967,0.04511028622649416
BIOCARTA_MELANOCYTE_PATHWAY,7,0.802369804897655,0.00781301674138398,0.01907496663275604,0.999201393685791,0.451719927108996,0.06883997512178072,DNAm and RNAseq,0.01907496663275604,0.0010776820368735478,0.04511028622649416
WP_CANCER_IMMUNOTHERAPY_BY_CTLA4_BLOCKADE,14,8.97195450493051e-26,0.0192175729973307,0.02087729004657284,7.45727747968636e-24,0.562548114497097,0.072839116628006,DNAm and SNP,0.0192175729973307,0.001093750655478994,0.04511028622649416
PID_HDAC_CLASSI_PATHWAY,61,0.502232618394601,0.019261266186452,0.00702717482176606,0.999201393685791,0.562548114497097,0.03574144752255524,DNAm and RNAseq,0.019261266186452,0.0010986974054458516,0.04511028622649416
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,104,0.831421625205714,0.012992348335428,0.01997612795591693,0.999201393685791,0.50420990183928,0.07074046312389083,DNAm and RNAseq,0.01997612795591693,0.0011811942888815662,0.04780462029144967
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,125,0.0204493580604652,0.919984381367962,9.664383176109178e-4,0.477602362635327,1,0.00999240786055376,RNAseq and SNP,0.0204493580604652,0.0012374258637190857,0.049149090075485964
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,111,0.0206524160677197,0.607231011909216,0.00305234911522391,0.478391211535867,1,0.02151070906325711,RNAseq and SNP,0.0206524160677197,0.0012619494367355176,0.049149090075485964
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,44,0.266247069541402,0.0206895585647172,0.02027651523924445,0.999201393685791,0.598097136875957,0.07162514672416402,DNAm and RNAseq,0.0206895585647172,0.0012664608455737647,0.049149090075485964
KEGG_CHRONIC_MYELOID_LEUKEMIA,71,0.329430387486418,0.0209580050997084,7.62028100848861e-7,0.999201393685791,0.599737661085594,1.3492660060655145e-4,DNAm and RNAseq,0.0209580050997084,0.0012993028297224743,0.049742228602753645
KEGG_INSULIN_SIGNALING_PATHWAY,130,0.29969376419439703,0.0213455478057712,5.400721313742805e-8,0.999201393685791,0.604719369337497,3.8250608704583416e-5,DNAm and RNAseq,0.0213455478057712,0.0013474457865581887,0.05089751884425798
REACTOME_DARPP_32_EVENTS,24,0.336945021889279,0.0221467923037124,0.00457326979793703,0.999201393685791,0.615730955943549,0.02687982020239757,DNAm and RNAseq,0.0221467923037124,0.001449716092521771,0.05404007486992339
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,84,0.0227655448024874,0.183922737919582,1.2356711021877098e-4,0.510598647712933,0.899919026815502,0.00286306018695723,RNAseq and SNP,0.0227655448024874,0.0015312126912796662,0.0563366955116272
WP_ALLOGRAFT_REJECTION,85,1.2967883367326099e-49,0.0231140341204226,0.8151848151848152,1.22157461320212e-47,0.615730955943549,0.8569271174094922,DNAm and SNP,0.0231140341204226,0.0015780779781744835,0.05656506476653475
BIOCARTA_INFLAM_PATHWAY,26,3.30503983456786e-55,0.023163849623878,0.5714285714285714,3.7360170289955004e-53,0.615730955943549,0.647283943565431,DNAm and SNP,0.023163849623878,0.00158483401584457,0.05656506476653475
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,116,0.278238518633271,0.0232556344108577,0.00583740084204027,0.999201393685791,0.615730955943549,0.03114379771280621,DNAm and RNAseq,0.0232556344108577,0.0015973191603680832,0.05656506476653475
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,25,0.801330532810459,0.00858286970836702,0.0235807800436801,0.999201393685791,0.46469921401595,0.07905840220561627,DNAm and RNAseq,0.0235807800436801,0.0016419352265927049,0.05742719132021152
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL,147,0.397577654101804,0.0238014642405394,8.014000466808619e-4,0.999201393685791,0.62434766845785294,0.00866552035208733,DNAm and RNAseq,0.0238014642405394,0.0016725615792483907,0.05746864140953769
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS,42,0.0158376669319172,0.904951448380221,0.02388116810966071,0.40261772957832,1,0.07978225147956228,RNAseq and SNP,0.02388116810966071,0.001683691223788079,0.05746864140953769
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE,70,0.0244579160486385,0.0748268869607525,2.939230770538129e-4,0.539984927761346,0.77388430980496,0.0046518663535947,RNAseq and SNP,0.0244579160486385,0.0017653080274809742,0.05929733234150015
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,86,0.750984229334806,0.0245542761969146,9.419330629199423e-5,0.999201393685791,0.626687067259991,0.00254142511166875,DNAm and RNAseq,0.0245542761969146,0.001779129279572013,0.05929733234150015
REACTOME_SIGNALING_BY_SCF_KIT,43,0.0574896734718249,2.7907123576158e-4,0.02508272085389022,0.777762824569433,0.138678802686384,0.08214953546713412,DNAm and RNAseq,0.02508272085389022,0.001855867425557425,0.06113572577446726
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY,26,0.0161540926962892,0.492984922253746,0.02538310915149897,0.40261772957832,1,0.08294157811556702,RNAseq and SNP,0.02538310915149897,0.0019001979029194475,0.061876559298514884
WP_THE_EFFECT_OF_PROGERIN_ON_THE_INVOLVED_GENES_IN_HUTCHINSONGILFORD_PROGERIA_SYNDROME,27,0.0259064252654671,0.0856395730076153,0.01203136552757369,0.563165829232385,0.79558929708388,0.05049608672535743,RNAseq and SNP,0.0259064252654671,0.001978654784895658,0.062606256770534
WP_THIAMINE_METABOLIC_PATHWAYS,8,0.364903087978807,0.00588294896701537,0.02597402597402597,0.999201393685791,0.447070481814843,0.08317779510620485,DNAm and RNAseq,0.02597402597402597,0.0019889033213371194,0.062606256770534
PID_TCPTP_PATHWAY,42,0.552375477932911,0.0124142865783834,0.02597402597402597,0.999201393685791,0.502031314373423,0.08317779510620485,DNAm and RNAseq,0.02597402597402597,0.0019889033213371194,0.062606256770534
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,29,0.7861598853345,0.0264102343476247,0.00479635132907389,0.999201393685791,0.642631088723868,0.02761801486842749,DNAm and RNAseq,0.0264102343476247,0.0020556591327105882,0.06300953649246611
PID_ECADHERIN_NASCENT_AJ_PATHWAY,39,0.886205613409064,0.0265229536561063,0.02538310915149897,0.999201393685791,0.642631088723868,0.08294157811556702,DNAm and RNAseq,0.0265229536561063,0.0020730851629053126,0.06300953649246611
REACTOME_CD28_CO_STIMULATION,31,0.026533525584192,0.0435306924706236,0.02497502497502497,0.572394987029975,0.717551519563081,0.08198637978475753,RNAseq and SNP,0.026533525584192,0.0020747232509461555,0.06300953649246611
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,47,0.720602457650995,0.0269453234079503,0.00190542407897014,0.999201393685791,0.642631088723868,0.01533541595375687,DNAm and RNAseq,0.0269453234079503,0.0021390240321138296,0.06300953649246611
WP_KISSPEPTINKISSPEPTIN_RECEPTOR_SYSTEM_IN_THE_OVARY,38,0.281348328213607,0.0269459297873329,0.00115051668685811,0.999201393685791,0.642631088723868,0.01079276084062596,DNAm and RNAseq,0.0269459297873329,0.0021391194261167496,0.06300953649246611
REACTOME_HCMV_LATE_EVENTS,81,0.00227224045157188,0.997247018212103,0.02697302697302697,0.0904305276848989,1,0.0851890584332056,RNAseq and SNP,0.02697302697302697,0.0021433844144599923,0.06300953649246611
REACTOME_HIV_LIFE_CYCLE,141,0.0270619120473989,0.95755550547138,4.804433865966557e-6,0.575014762751499,1,4.003223865377429e-4,RNAseq and SNP,0.0270619120473989,0.002157403826251046,0.06300953649246611
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE,46,0.145150350602876,0.0274801567972361,4.9110240578850626e-5,0.956800628105521,0.643024957267851,0.00167523028127085,DNAm and RNAseq,0.0274801567972361,0.0022239732763810185,0.06429098257130025
KEGG_TYPE_I_DIABETES_MELLITUS,41,1.43117088355199e-56,0.0276911559430561,0.9050949050949052,1.8384040531445095e-54,0.643024957267851,0.9263489400772638,DNAm and SNP,0.0276911559430561,0.0022579331891283308,0.06461338105859153
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,73,0.0168373284685558,0.318595911823882,0.02797202797202797,0.41375904567077,1,0.0865117415335756,RNAseq and SNP,0.02797202797202797,0.0023035304956181293,0.0652590189408616
BIOCARTA_IL10_PATHWAY,13,0.0284175101060067,0.025816695213642,0.7562437562437563,0.59330193809906,0.642631088723868,0.8063374337367563,DNAm and SNP,0.0284175101060067,0.002376767243912347,0.06599632791410773
REACTOME_MRNA_SPLICING,179,0.0285523933409314,0.999991441011006,6.090664593293931e-4,0.59330193809906,1,0.00734249055012838,RNAseq and SNP,0.0285523933409314,0.002399163437845484,0.06599632791410773
BIOCARTA_CARM_ER_PATHWAY,24,0.330090033581425,0.026288528754427,0.02868738287679295,0.999201393685791,0.642631088723868,0.0878313977698642,DNAm and RNAseq,0.02868738287679295,0.002421680331139615,0.06599632791410773
WP_16P112_PROXIMAL_DELETION_SYNDROME,70,0.0288891347522847,0.567159010389767,1.0212067644566468e-5,0.594999362907922,1,6.429063919345956e-4,RNAseq and SNP,0.0288891347522847,0.0024555256103203243,0.06599632791410773
PID_EPHB_FWD_PATHWAY,39,0.200017572728373,0.0289707649352726,1.0660186565208474e-4,0.999201393685791,0.647766882107062,0.00267259367603854,DNAm and RNAseq,0.0289707649352726,0.0024692850342751607,0.06599632791410773
WP_SENESCENCE_AND_AUTOPHAGY_IN_CANCER,103,0.676154336081872,0.0188864339434324,0.02897102897102897,0.999201393685791,0.562548114497097,0.0878313977698642,DNAm and RNAseq,0.02897102897102897,0.002469329600739647,0.06599632791410773
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,74,0.448734622664491,0.029397634543525,1.938513751119401e-4,0.999201393685791,0.647766882107062,0.00361303253744819,DNAm and RNAseq,0.029397634543525,0.002541850648912715,0.06711858657527138
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,54,0.259368828785933,0.029495915210664,0.01292810213746713,0.999201393685791,0.647766882107062,0.05331195539365998,DNAm and RNAseq,0.029495915210664,0.0025587036181183584,0.06711858657527138
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,77,0.0298630963087874,0.994331506364341,0.00227539865847251,0.594999362907922,1,0.0175168597811213,RNAseq and SNP,0.0298630963087874,0.0026221494748364287,0.06725530663254517
WP_RANKLRANK_RECEPTOR_ACTIVATOR_OF_NFKB_LIGAND_SIGNALING_PATHWAY,54,0.14186216338736,0.0298943981374129,0.01727264676935732,0.956800628105521,0.651467922486851,0.0647267305523668,DNAm and RNAseq,0.0298943981374129,0.0026275933650921194,0.06725530663254517
REACTOME_SUMOYLATION,168,0.0300241075887917,0.556933863057611,1.5070116962538864e-7,0.594999362907922,1,6.184392222053273e-5,RNAseq and SNP,0.0300241075887917,0.0026502108238908714,0.06725530663254517
KEGG_INOSITOL_PHOSPHATE_METABOLISM,52,0.030073655327152,0.0315610082564097,4.462021276820673e-5,0.594999362907922,0.662313602891916,0.00158011328465412,RNAseq and SNP,0.030073655327152,0.0026588755181239177,0.06725530663254517
