Sample,simRun,simType
TCGA.AD.5900,001,A
TCGA.AD.6889,001,A
TCGA.AD.6890,001,B
TCGA.AD.6899,001,A
TCGA.AD.6901,001,B
TCGA.AD.6963,001,A
TCGA.AD.6965,001,B
TCGA.AD.A5EK,001,B
TCGA.AU.3779,001,A
TCGA.AU.6004,001,A
TCGA.AY.4070,001,A
TCGA.AY.5543,001,B
TCGA.AY.6197,001,B
TCGA.AY.6386,001,B
TCGA.AY.A54L,001,B
TCGA.AY.A69D,001,B
TCGA.AY.A71X,001,B
TCGA.AY.A8YK,001,B
TCGA.AZ.4308,001,A
TCGA.AZ.4315,001,B
TCGA.AZ.4323,001,B
TCGA.AZ.4614,001,A
TCGA.AZ.4615,001,B
TCGA.AZ.4616,001,A
TCGA.AZ.4682,001,A
TCGA.AZ.4684,001,A
TCGA.AZ.5403,001,B
TCGA.AZ.5407,001,B
TCGA.AZ.6598,001,B
TCGA.AZ.6599,001,A
TCGA.AZ.6600,001,A
TCGA.AZ.6603,001,A
TCGA.AZ.6605,001,A
TCGA.AZ.6606,001,A
TCGA.AZ.6607,001,B
TCGA.CA.5254,001,A
TCGA.CA.5255,001,A
TCGA.CA.5256,001,A
TCGA.CA.5796,001,A
TCGA.CA.5797,001,A
TCGA.CA.6715,001,A
TCGA.CA.6716,001,B
TCGA.CA.6717,001,B
TCGA.CA.6718,001,B
TCGA.CA.6719,001,A
TCGA.CK.4947,001,A
TCGA.CK.4948,001,A
TCGA.CK.4950,001,B
TCGA.CK.4951,001,B
TCGA.CK.4952,001,A
TCGA.CK.5913,001,B
TCGA.CK.5914,001,B
TCGA.CK.5916,001,B
TCGA.CK.6747,001,B
TCGA.CK.6748,001,A
TCGA.CK.6751,001,A
TCGA.CM.4743,001,A
TCGA.CM.4744,001,A
TCGA.CM.4746,001,A
TCGA.CM.4747,001,B
TCGA.CM.4748,001,A
TCGA.CM.4750,001,B
TCGA.CM.4751,001,B
TCGA.CM.4752,001,A
TCGA.CM.5341,001,A
TCGA.CM.5344,001,B
TCGA.CM.5348,001,A
TCGA.CM.5349,001,B
TCGA.CM.5860,001,A
TCGA.CM.5861,001,A
TCGA.CM.5862,001,B
TCGA.CM.5863,001,A
TCGA.CM.5864,001,A
TCGA.CM.5868,001,B
TCGA.CM.6161,001,A
TCGA.CM.6162,001,B
TCGA.CM.6163,001,A
TCGA.CM.6164,001,A
TCGA.CM.6165,001,A
TCGA.CM.6166,001,B
TCGA.CM.6167,001,A
TCGA.CM.6168,001,A
TCGA.CM.6169,001,A
TCGA.CM.6170,001,B
TCGA.CM.6171,001,B
TCGA.CM.6172,001,B
TCGA.CM.6674,001,B
TCGA.CM.6675,001,B
TCGA.CM.6676,001,A
TCGA.CM.6677,001,B
TCGA.CM.6678,001,A
TCGA.CM.6679,001,A
TCGA.CM.6680,001,A
TCGA.D5.5537,001,B
TCGA.D5.5538,001,A
TCGA.D5.5539,001,B
TCGA.D5.5540,001,B
TCGA.D5.5541,001,A
TCGA.D5.6529,001,A
TCGA.D5.6530,001,A
TCGA.D5.6531,001,B
TCGA.D5.6532,001,A
TCGA.D5.6533,001,A
TCGA.D5.6534,001,B
TCGA.D5.6535,001,B
TCGA.D5.6536,001,A
TCGA.D5.6537,001,B
TCGA.D5.6538,001,A
TCGA.D5.6539,001,B
TCGA.D5.6540,001,A
TCGA.D5.6541,001,A
TCGA.D5.6898,001,A
TCGA.D5.6920,001,A
TCGA.D5.6922,001,A
TCGA.D5.6923,001,B
TCGA.D5.6924,001,B
TCGA.D5.6926,001,A
TCGA.D5.6927,001,B
TCGA.D5.6928,001,B
TCGA.D5.6929,001,A
TCGA.D5.6930,001,B
TCGA.D5.6931,001,A
TCGA.D5.6932,001,B
TCGA.D5.7000,001,B
TCGA.DM.A0X9,001,B
TCGA.DM.A0XD,001,B
TCGA.DM.A0XF,001,B
TCGA.DM.A1D0,001,A
TCGA.DM.A1D4,001,B
TCGA.DM.A1D6,001,B
TCGA.DM.A1D7,001,A
TCGA.DM.A1D8,001,A
TCGA.DM.A1D9,001,A
TCGA.DM.A1DA,001,A
TCGA.DM.A1DB,001,A
TCGA.DM.A1HA,001,B
TCGA.DM.A1HB,001,B
TCGA.DM.A280,001,A
TCGA.DM.A282,001,A
TCGA.DM.A288,001,A
TCGA.DM.A28A,001,B
TCGA.DM.A28C,001,B
TCGA.DM.A28E,001,A
TCGA.DM.A28F,001,A
TCGA.DM.A28G,001,A
TCGA.DM.A28H,001,B
TCGA.DM.A28K,001,B
TCGA.DM.A28M,001,A
TCGA.F4.6459,001,A
TCGA.F4.6460,001,B
TCGA.F4.6461,001,A
TCGA.F4.6463,001,A
TCGA.F4.6569,001,B
TCGA.F4.6570,001,A
TCGA.F4.6703,001,B
TCGA.F4.6704,001,B
TCGA.F4.6805,001,B
TCGA.F4.6806,001,B
TCGA.F4.6807,001,A
TCGA.F4.6808,001,B
TCGA.F4.6809,001,A
TCGA.F4.6855,001,B
TCGA.F4.6856,001,B
TCGA.G4.6293,001,B
TCGA.G4.6295,001,B
TCGA.G4.6297,001,A
TCGA.G4.6299,001,A
TCGA.G4.6302,001,A
TCGA.G4.6303,001,A
TCGA.G4.6304,001,B
TCGA.G4.6306,001,B
TCGA.G4.6307,001,A
TCGA.G4.6309,001,A
TCGA.G4.6311,001,B
TCGA.G4.6315,001,B
TCGA.G4.6317,001,A
TCGA.G4.6320,001,A
TCGA.G4.6322,001,B
TCGA.G4.6323,001,B
TCGA.G4.6626,001,A
TCGA.G4.6627,001,B
TCGA.NH.A50T,001,B
TCGA.NH.A50U,001,A
TCGA.NH.A50V,001,B
TCGA.NH.A5IV,001,B
TCGA.NH.A6GA,001,B
TCGA.NH.A6GB,001,B
TCGA.NH.A6GC,001,B
TCGA.NH.A8F8,001,B
TCGA.QG.A5YV,001,A
TCGA.QG.A5YW,001,A
TCGA.QG.A5YX,001,A
TCGA.QG.A5Z1,001,B
TCGA.QG.A5Z2,001,A
TCGA.QL.A97D,001,B
TCGA.RU.A8FL,001,B
TCGA.SS.A7HO,001,B
TCGA.T9.A92H,001,B
TCGA.WS.AB45,001,A
TCGA.AF.2687,001,A
TCGA.AF.2689,001,A
TCGA.AF.2690,001,A
TCGA.AF.2691,001,A
TCGA.AF.2692,001,B
TCGA.AF.2693,001,B
TCGA.AF.3400,001,B
TCGA.AF.3911,001,B
TCGA.AF.3914,001,B
TCGA.AF.4110,001,A
TCGA.AF.5654,001,B
TCGA.AF.6136,001,B
TCGA.AF.6655,001,B
TCGA.AF.6672,001,B
TCGA.AF.A56K,001,B
TCGA.AF.A56L,001,B
TCGA.AF.A56N,001,B
TCGA.AG.3574,001,A
TCGA.AG.3575,001,B
TCGA.AG.3578,001,B
TCGA.AG.3581,001,A
TCGA.AG.3582,001,B
TCGA.AG.3583,001,B
TCGA.AG.3584,001,B
TCGA.AG.3586,001,B
TCGA.AG.3587,001,B
TCGA.AG.3591,001,B
TCGA.AG.3592,001,A
TCGA.AG.3593,001,A
TCGA.AG.3594,001,A
TCGA.AG.3598,001,B
TCGA.AG.3599,001,B
TCGA.AG.3600,001,A
TCGA.AG.3605,001,B
TCGA.AG.3608,001,A
TCGA.AG.3609,001,A
TCGA.AG.3725,001,A
TCGA.AG.3726,001,A
TCGA.AG.3727,001,A
TCGA.AG.3728,001,A
TCGA.AG.3731,001,A
TCGA.AG.3732,001,A
TCGA.AG.3742,001,B
TCGA.AG.3878,001,B
TCGA.AG.3881,001,A
TCGA.AG.3882,001,A
TCGA.AG.3883,001,A
TCGA.AG.3885,001,B
TCGA.AG.3887,001,A
TCGA.AG.3891,001,A
TCGA.AG.3892,001,B
TCGA.AG.3893,001,B
TCGA.AG.3894,001,B
TCGA.AG.3896,001,B
TCGA.AG.3898,001,A
TCGA.AG.3901,001,A
TCGA.AG.3902,001,A
TCGA.AG.3906,001,A
TCGA.AG.3909,001,B
TCGA.AG.3999,001,A
TCGA.AG.4001,001,B
TCGA.AG.4005,001,B
TCGA.AG.4007,001,B
TCGA.AG.4009,001,B
TCGA.AG.4021,001,B
TCGA.AG.4022,001,A
TCGA.AG.A002,001,B
TCGA.AG.A008,001,B
TCGA.AG.A00C,001,A
TCGA.AG.A00Y,001,A
TCGA.AG.A011,001,B
TCGA.AG.A016,001,B
TCGA.AG.A01J,001,B
TCGA.AG.A020,001,B
TCGA.AG.A025,001,B
TCGA.AG.A026,001,A
TCGA.AG.A02G,001,B
TCGA.AG.A02N,001,B
TCGA.AG.A02X,001,A
TCGA.AG.A032,001,A
TCGA.AG.A036,001,B
TCGA.AH.6544,001,B
TCGA.AH.6547,001,A
TCGA.AH.6549,001,A
TCGA.AH.6643,001,A
TCGA.AH.6644,001,A
TCGA.AH.6897,001,A
TCGA.AH.6903,001,A
TCGA.CI.6619,001,B
TCGA.CI.6620,001,B
TCGA.CI.6621,001,B
TCGA.CI.6622,001,A
TCGA.CI.6623,001,B
TCGA.CI.6624,001,A
TCGA.CL.5917,001,A
TCGA.CL.5918,001,A
TCGA.DC.4745,001,B
TCGA.DC.4749,001,A
TCGA.DC.5337,001,B
TCGA.DC.5869,001,A
TCGA.DC.6154,001,A
TCGA.DC.6155,001,B
TCGA.DC.6156,001,B
TCGA.DC.6157,001,A
TCGA.DC.6158,001,B
TCGA.DC.6160,001,B
TCGA.DC.6681,001,A
TCGA.DC.6682,001,B
TCGA.DC.6683,001,A
TCGA.DT.5265,001,B
TCGA.DY.A0XA,001,B
TCGA.DY.A1DC,001,A
TCGA.DY.A1DD,001,A
TCGA.DY.A1DE,001,A
TCGA.DY.A1DF,001,B
TCGA.DY.A1DG,001,B
TCGA.DY.A1H8,001,A
TCGA.EF.5830,001,A
TCGA.EF.5831,001,A
TCGA.EI.6506,001,A
TCGA.EI.6507,001,A
TCGA.EI.6508,001,A
TCGA.EI.6509,001,B
TCGA.EI.6510,001,B
TCGA.EI.6511,001,B
TCGA.EI.6512,001,A
TCGA.EI.6513,001,B
TCGA.EI.6514,001,A
TCGA.EI.6881,001,A
TCGA.EI.6882,001,B
TCGA.EI.6883,001,B
TCGA.EI.6884,001,B
TCGA.EI.6885,001,B
TCGA.EI.6917,001,A
TCGA.EI.7002,001,A
TCGA.EI.7004,001,A
TCGA.F5.6464,001,A
TCGA.F5.6465,001,A
TCGA.F5.6571,001,B
TCGA.F5.6702,001,B
TCGA.F5.6811,001,A
TCGA.F5.6812,001,A
TCGA.F5.6813,001,B
TCGA.F5.6814,001,B
TCGA.F5.6861,001,A
TCGA.F5.6863,001,A
TCGA.F5.6864,001,B
TCGA.G5.6572,001,A
TCGA.5M.AAT5,001,B
TCGA.5M.AATA,001,B
TCGA.AA.3521,001,A
TCGA.AA.3527,001,A
TCGA.AA.3529,001,B
TCGA.AA.3672,001,A
TCGA.AA.3684,001,A
TCGA.AA.3693,001,A
TCGA.AA.3695,001,B
TCGA.AA.3712,001,B
TCGA.AA.3814,001,A
TCGA.AA.3845,001,B
TCGA.AA.3850,001,B
TCGA.AA.3852,001,A
TCGA.AA.3872,001,A
TCGA.AA.3984,001,A
TCGA.AA.A022,001,A
TCGA.AA.A02O,001,B
TCGA.AD.A5EJ,001,B
TCGA.AG.3601,001,B
TCGA.AG.3602,001,B
TCGA.AG.4015,001,A
TCGA.AG.A01L,001,A
TCGA.AG.A01W,001,B
TCGA.AG.A01Y,001,A
TCGA.AM.5820,001,B
TCGA.AM.5821,001,B
TCGA.AY.4071,001,A
TCGA.AY.6196,001,A
TCGA.CK.5915,001,A
TCGA.CK.6746,001,A
TCGA.CL.4957,001,B
TCGA.F4.6854,001,A
TCGA.F5.6810,001,A
TCGA.A6.2677,002,B
TCGA.A6.2681,002,A
TCGA.A6.2682,002,A
TCGA.A6.4105,002,A
TCGA.A6.6649,002,A
TCGA.AA.3496,002,A
TCGA.AA.3506,002,A
TCGA.AA.3516,002,A
TCGA.AA.3520,002,A
TCGA.AA.3522,002,B
TCGA.AA.3524,002,A
TCGA.AA.3525,002,B
TCGA.AA.3530,002,A
TCGA.AA.3531,002,B
TCGA.AA.3543,002,B
TCGA.AA.3552,002,A
TCGA.AA.3554,002,A
TCGA.AA.3556,002,B
TCGA.AA.3560,002,A
TCGA.AA.3562,002,B
TCGA.AA.3662,002,A
TCGA.AA.3688,002,A
TCGA.AA.3692,002,A
TCGA.AA.3697,002,A
TCGA.AA.3713,002,A
TCGA.AA.3715,002,B
TCGA.AA.3844,002,A
TCGA.AA.3860,002,B
TCGA.AA.3862,002,B
TCGA.AA.3867,002,B
TCGA.AA.3870,002,A
TCGA.AA.3939,002,B
TCGA.AA.3950,002,B
TCGA.AA.3952,002,B
TCGA.AA.3972,002,A
TCGA.AA.3976,002,B
TCGA.AA.3979,002,B
TCGA.AA.3986,002,B
TCGA.AA.A00L,002,A
TCGA.AA.A00Z,002,B
TCGA.AA.A024,002,B
TCGA.AD.6548,002,B
TCGA.AD.6888,002,B
TCGA.AD.6895,002,A
TCGA.AD.6964,002,B
TCGA.AZ.4313,002,B
TCGA.AZ.4681,002,B
TCGA.AZ.6601,002,B
TCGA.AZ.6608,002,A
TCGA.CK.5912,002,B
TCGA.DM.A285,002,A
TCGA.G4.6294,002,A
TCGA.G4.6298,002,B
TCGA.G4.6310,002,A
TCGA.G4.6314,002,A
TCGA.G4.6321,002,A
TCGA.G4.6586,002,A
TCGA.G4.6588,002,A
TCGA.G4.6625,002,B
TCGA.G4.6628,002,B
TCGA.NH.A8F7,002,A
TCGA.AF.3913,002,B
TCGA.AG.3580,002,A
TCGA.AG.3611,002,B
TCGA.AG.3612,002,B
TCGA.AG.3890,002,B
TCGA.AG.4008,002,A
TCGA.AG.A00H,002,B
TCGA.AG.A014,002,A
TCGA.AG.A015,002,A
TCGA.AG.A01N,002,A
TCGA.AG.A023,002,B
TCGA.BM.6198,002,B
TCGA.G5.6233,002,B
TCGA.G5.6235,002,A
TCGA.G5.6641,002,B
TCGA.3L.AA1B,002,A
TCGA.4N.A93T,002,A
TCGA.4T.AA8H,002,B
TCGA.5M.AAT4,002,A
TCGA.5M.AAT6,002,A
TCGA.5M.AATE,002,A
TCGA.A6.2671,002,B
TCGA.A6.2672,002,A
TCGA.A6.2674,002,B
TCGA.A6.2675,002,A
TCGA.A6.2676,002,B
TCGA.A6.2678,002,A
TCGA.A6.2679,002,B
TCGA.A6.2680,002,B
TCGA.A6.2683,002,B
TCGA.A6.2684,002,B
TCGA.A6.2685,002,A
TCGA.A6.2686,002,B
TCGA.A6.3807,002,A
TCGA.A6.3808,002,A
TCGA.A6.3809,002,B
TCGA.A6.3810,002,B
TCGA.A6.4107,002,B
TCGA.A6.5656,002,B
TCGA.A6.5657,002,A
TCGA.A6.5659,002,B
TCGA.A6.5660,002,B
TCGA.A6.5661,002,B
TCGA.A6.5662,002,B
TCGA.A6.5664,002,A
TCGA.A6.5665,002,B
TCGA.A6.5666,002,A
TCGA.A6.5667,002,B
TCGA.A6.6137,002,B
TCGA.A6.6138,002,B
TCGA.A6.6140,002,A
TCGA.A6.6141,002,A
TCGA.A6.6142,002,A
TCGA.A6.6648,002,B
TCGA.A6.6650,002,A
TCGA.A6.6651,002,A
TCGA.A6.6652,002,A
TCGA.A6.6653,002,A
TCGA.A6.6654,002,A
TCGA.A6.6780,002,B
TCGA.A6.6781,002,A
TCGA.A6.6782,002,B
TCGA.A6.A565,002,B
TCGA.A6.A566,002,B
TCGA.A6.A567,002,A
TCGA.A6.A56B,002,B
TCGA.A6.A5ZU,002,B
TCGA.AA.3488,002,B
TCGA.AA.3489,002,A
TCGA.AA.3492,002,B
TCGA.AA.3494,002,A
TCGA.AA.3495,002,B
TCGA.AA.3502,002,B
TCGA.AA.3509,002,A
TCGA.AA.3510,002,A
TCGA.AA.3511,002,B
TCGA.AA.3514,002,B
TCGA.AA.3517,002,B
TCGA.AA.3518,002,A
TCGA.AA.3519,002,A
TCGA.AA.3526,002,B
TCGA.AA.3532,002,A
TCGA.AA.3534,002,B
TCGA.AA.3538,002,A
TCGA.AA.3542,002,B
TCGA.AA.3544,002,B
TCGA.AA.3548,002,B
TCGA.AA.3549,002,B
TCGA.AA.3553,002,B
TCGA.AA.3555,002,B
TCGA.AA.3558,002,B
TCGA.AA.3561,002,B
TCGA.AA.3655,002,A
TCGA.AA.3660,002,B
TCGA.AA.3663,002,B
TCGA.AA.3664,002,B
TCGA.AA.3666,002,A
TCGA.AA.3667,002,A
TCGA.AA.3673,002,B
TCGA.AA.3675,002,A
TCGA.AA.3678,002,A
TCGA.AA.3679,002,B
TCGA.AA.3680,002,A
TCGA.AA.3681,002,B
TCGA.AA.3685,002,A
TCGA.AA.3696,002,A
TCGA.AA.3710,002,B
TCGA.AA.3811,002,B
TCGA.AA.3812,002,A
TCGA.AA.3815,002,A
TCGA.AA.3818,002,B
TCGA.AA.3819,002,B
TCGA.AA.3821,002,A
TCGA.AA.3831,002,A
TCGA.AA.3833,002,A
TCGA.AA.3837,002,A
TCGA.AA.3841,002,A
TCGA.AA.3842,002,A
TCGA.AA.3846,002,B
TCGA.AA.3848,002,A
TCGA.AA.3851,002,A
TCGA.AA.3854,002,A
TCGA.AA.3855,002,B
TCGA.AA.3856,002,B
TCGA.AA.3858,002,A
TCGA.AA.3861,002,B
TCGA.AA.3864,002,A
TCGA.AA.3866,002,A
TCGA.AA.3869,002,A
TCGA.AA.3875,002,A
TCGA.AA.3877,002,B
TCGA.AA.3930,002,B
TCGA.AA.3941,002,B
TCGA.AA.3947,002,B
TCGA.AA.3949,002,B
TCGA.AA.3955,002,A
TCGA.AA.3956,002,A
TCGA.AA.3966,002,B
TCGA.AA.3967,002,A
TCGA.AA.3968,002,A
TCGA.AA.3970,002,B
TCGA.AA.3971,002,A
TCGA.AA.3973,002,B
TCGA.AA.3975,002,B
TCGA.AA.3977,002,B
TCGA.AA.3980,002,B
TCGA.AA.3982,002,B
TCGA.AA.3989,002,A
TCGA.AA.3994,002,B
TCGA.AA.A004,002,B
TCGA.AA.A00A,002,B
TCGA.AA.A00D,002,A
TCGA.AA.A00E,002,A
TCGA.AA.A00F,002,A
TCGA.AA.A00J,002,B
TCGA.AA.A00K,002,B
TCGA.AA.A00N,002,B
TCGA.AA.A00O,002,A
TCGA.AA.A00Q,002,A
TCGA.AA.A00R,002,B
TCGA.AA.A00U,002,A
TCGA.AA.A00W,002,A
TCGA.AA.A010,002,B
TCGA.AA.A017,002,A
TCGA.AA.A01C,002,A
TCGA.AA.A01D,002,B
TCGA.AA.A01F,002,B
TCGA.AA.A01G,002,A
TCGA.AA.A01I,002,B
TCGA.AA.A01K,002,A
TCGA.AA.A01P,002,A
TCGA.AA.A01Q,002,A
TCGA.AA.A01R,002,A
TCGA.AA.A01S,002,B
TCGA.AA.A01T,002,B
TCGA.AA.A01V,002,B
TCGA.AA.A01X,002,A
TCGA.AA.A01Z,002,B
TCGA.AA.A029,002,B
TCGA.AA.A02E,002,B
TCGA.AA.A02F,002,B
TCGA.AA.A02H,002,B
TCGA.AA.A02J,002,A
TCGA.AA.A02K,002,A
TCGA.AA.A02R,002,B
TCGA.AA.A02W,002,B
TCGA.AA.A02Y,002,B
TCGA.AA.A03F,002,B
TCGA.AA.A03J,002,B
TCGA.AD.5900,002,A
TCGA.AD.6889,002,A
TCGA.AD.6890,002,A
TCGA.AD.6899,002,B
TCGA.AD.6901,002,A
TCGA.AD.6963,002,A
TCGA.AD.6965,002,A
TCGA.AD.A5EK,002,A
TCGA.AU.3779,002,B
TCGA.AU.6004,002,A
TCGA.AY.4070,002,A
TCGA.AY.5543,002,A
TCGA.AY.6197,002,B
TCGA.AY.6386,002,A
TCGA.AY.A54L,002,A
TCGA.AY.A69D,002,A
TCGA.AY.A71X,002,A
TCGA.AY.A8YK,002,B
TCGA.AZ.4308,002,A
TCGA.AZ.4315,002,B
TCGA.AZ.4323,002,B
TCGA.AZ.4614,002,A
TCGA.AZ.4615,002,A
TCGA.AZ.4616,002,B
TCGA.AZ.4682,002,B
TCGA.AZ.4684,002,A
TCGA.AZ.5403,002,A
TCGA.AZ.5407,002,B
TCGA.AZ.6598,002,A
TCGA.AZ.6599,002,B
TCGA.AZ.6600,002,A
TCGA.AZ.6603,002,B
