set,setSize,pMANOVA,s.snp_score,s.rnaSeq_score,s.dnaM_score,p.snp_score,p.rnaSeq_score,p.dnaM_score,s.dist,SD,p.adjustMANOVA
REACTOME_AMYLOID_FIBER_FORMATION,107,1.3392118551842885e-9,-0.13494981595800223,-0.19663394623423394,0.1752593424181468,0.003975384930468532,1.427682561434807e-5,1.9141564133058076e-5,0.2959597924441553,0.1993068287896231,3.1449158399244376e-7
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,125,1.5961066072267601e-9,-0.018185309328895085,-0.17098165300602775,0.20364987118983463,0.4243733055469072,4.7708911698221886e-5,1.643860672291982e-7,0.26653086345805715,0.18837301154809521,3.4598680147423154e-7
PID_KIT_PATHWAY,52,2.055789383875532e-9,0.35240968860245836,0.18323111669188652,0.25863386833747676,8.540796249087182e-6,0.036301722023292064,8.699096913760583e-6,0.47398070487757693,0.08475540161330646,4.138010345543749e-7
REACTOME_HCMV_LATE_EVENTS,116,7.65492111509621e-9,-0.12656991636720635,-0.21964579493396405,0.1151191890784674,0.0018781993890081116,8.240801125168519e-7,0.004705527446471042,0.2784181148119829,0.17279290947207454,1.392133305845348e-6
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION,73,7.90423452573654e-9,-0.1827026257318541,-0.22686472236521618,0.19391381536181548,0.0017522231373743539,4.741376482837305e-5,8.799908391121762e-5,0.34992916353361697,0.23124475211804446,1.392133305845348e-6
WP_TYROBP_CAUSAL_NETWORK,60,1.157061285439454e-8,-5.829375638863682e-5,-0.08316710560308518,0.33938812440767746,0.7731288021225418,0.13108590448425242,8.250599333110324e-10,0.34942963503617996,0.2238615151607619,1.8312280231722802e-6
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,88,1.169698524382578e-8,-0.22096720818618878,-0.1821188171526333,0.1428039729567845,3.900579781319077e-5,2.5175325266621094e-4,0.001109090063109696,0.31997928893432276,0.19975547103418664,1.8312280231722802e-6
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,89,1.7159737123456162e-8,-0.21092748328626573,-0.19149256814437807,0.14089736244248752,8.00532634193461e-5,1.0993843231589291e-4,0.0018561578158113583,0.31782365173670896,0.19775468976915767,2.460013875533938e-6
KEGG_RETINOL_METABOLISM,62,1.745928939342752e-8,-0.22620694343864278,-0.22756323489895994,-0.20106835702059084,7.567567764365113e-4,1.921353582244693e-4,1.5193506277283585e-4,0.3786595982310396,0.014920716065328363,2.460013875533938e-6
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,117,3.593610339340183e-8,-0.06573456735365552,-0.14854124801608928,0.12817082009672487,0.0018850752905833492,1.0494712581183755e-4,1.992621600415445e-4,0.20691373765803137,0.14202453677908564,4.477687567854862e-6
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,25,3.7837859664936556e-8,-0.29814287862727207,-0.25536261535759736,-0.41218350702666895,0.007465602001411415,0.00947783907190473,1.0738185985090915e-6,0.5692051342558608,0.08106397464866323,4.477687567854862e-6
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,77,3.824745814838636e-8,-0.19797683520795492,-0.1759901378012716,0.17592444831062556,3.251957859270012e-4,4.3660369217926685e-4,2.9509626717886075e-4,0.3179886277772623,0.2098131949290459,4.477687567854862e-6
REACTOME_GLUCURONIDATION,25,3.917241337733993e-8,-0.33071715861102,-0.1769893592734949,-0.4151229642653506,0.00152457827995166,0.06623333877556774,8.502220964135872e-7,0.5594873973167227,0.12073675920760572,4.477687567854862e-6
KEGG_HEMATOPOIETIC_CELL_LINEAGE,82,3.972398481063575e-8,0.16200488502553775,-0.15675931132597945,0.20866245221365787,0.010741322533680252,0.0020263342289228857,4.123724003432741e-6,0.30717923664100427,0.19888045266774426,4.477687567854862e-6
WP_GLUCURONIDATION,26,6.713117678696534e-8,-0.23609316863752286,-0.295327354368914,-0.39167280274824917,0.020882099000754013,0.003071585099644108,2.2967907681423174e-6,0.5443949071478505,0.07852404804973606,7.275986776371859e-6
WP_KIT_RECEPTOR_SIGNALING_PATHWAY,58,8.780683533115735e-8,0.2936258155583816,0.1771348240530452,0.22115579174089503,2.1763946085147912e-4,0.03523735500137586,2.1667212215133153e-5,0.40804748458380447,0.05882162449612407,9.164431924563014e-6
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION,95,9.470726493363645e-8,-0.041067935339018445,-0.14874112533125586,0.1882502814959724,0.025501430091698245,3.366705037495002e-4,1.710902344170157e-5,0.24341048901214388,0.17211603096500472,9.531609735106696e-6
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,28,1.7365668490701508e-7,-0.22042770619987995,-0.13619456633747692,-0.4237594711560986,0.02816995546903332,0.1374252159571793,1.6595321990671918e-7,0.49669852320586816,0.1478358340494804,1.687463924372305e-5
REACTOME_HCMV_EARLY_EVENTS,134,2.334063206919668e-7,-0.11623324100547894,-0.1270066623523731,0.1256714036368902,0.0016446252346562244,2.381020656294183e-4,8.12438181609311e-4,0.21315290354248903,0.14287531203765463,2.1924633723665414e-5
REACTOME_INTERLEUKIN_10_SIGNALING,45,2.979020320240486e-7,-0.04619238794464881,-0.3434435149820215,0.20975788444893176,0.5485981922517325,4.122390817781317e-6,4.898464675866058e-4,0.40507475208376836,0.27685753339810637,2.708025568528287e-5
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,118,3.75973089569118e-7,-0.08749371825823737,-0.12685396698191304,0.1517063677196808,0.008920361717377579,4.698131381481888e-4,1.4443038641079266e-4,0.21624500382760084,0.15075464082436346,3.225892908188751e-5
REACTOME_MEIOTIC_RECOMBINATION,85,3.8490113746514233e-7,-0.20224987508238643,-0.21137640820656226,0.08281205282522122,2.0919346239714687e-4,3.7495557176363837e-5,0.08180235305739135,0.30404413168202304,0.16727743768637676,3.225892908188751e-5
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,109,3.892134807608855e-7,-0.12521146481988352,-0.13590392217201816,0.1587491533358968,0.006154635115482832,9.028663755186288e-4,1.1355653916507018e-4,0.24361666746949595,0.1671169232473246,3.225892908188751e-5
WP_16P112_PROXIMAL_DELETION_SYNDROME,74,4.758749742929556e-7,0.38343830514069704,0.2236617248081902,0.029704508767745937,5.418642974581001e-7,0.005285122782492371,0.62222565881825,0.4448953346962384,0.1771419186101594,3.83147336445014e-5
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,105,7.434692159665985e-7,-0.16465713894619646,-0.12842477721408693,0.13677174911331694,6.17386656106849e-4,0.002895609849874878,7.037776935623605e-4,0.24962253136275783,0.1645708338728355,5.8197118072052066e-5
WP_INSULIN_SIGNALING,156,8.389649760540149e-7,0.15479574212354613,0.19590941344924723,0.09082843797676472,0.0012305460263093905,1.3622584232110977e-4,0.009670687096487635,0.26569159791552777,0.05295306314075558,6.389738655460038e-5
WP_LEPTIN_SIGNALING_PATHWAY,74,1.3560242065713141e-6,0.2882579621817138,0.19029908267459375,0.1172939996430845,1.7550632695464433e-5,0.00905615695886927,0.01900458308250324,0.3647797636659936,0.08578496440678271,1.0055990037152535e-4
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,91,1.4821593099541532e-6,-0.19594039476098743,-0.16854209056443722,0.09854549075452965,1.9493810896090169e-4,4.625872546057444e-4,0.030381275325038943,0.2766049318775311,0.16269008366396145,1.0709551116540524e-4
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY,39,2.992099814446626e-6,0.10107326690107529,0.0071617307516403305,0.3500216684499976,0.3322548838115198,0.8089110153182126,1.5867172324409865e-7,0.364393007690783,0.17717581669734705,2.1079343192776482e-4
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,98,3.134470158138768e-6,-0.16571641462958842,-0.1926746415632481,0.05870729562937297,9.128252401697505e-4,4.503088803498487e-5,0.19765611633477786,0.2608294349557319,0.1380130586046841,2.1543748550329386e-4
KEGG_TGF_BETA_SIGNALING_PATHWAY,85,4.1936398345638625e-6,0.31211080500130095,0.10904683839403444,0.0536554897414153,5.562097464104454e-7,0.1624221588093103,0.2770005870574033,0.3349377242737609,0.13607738363759542,2.779937745129176e-4
REACTOME_HATS_ACETYLATE_HISTONES,136,4.282792682571297e-6,-0.08271578957300996,-0.08825417704910313,0.10696968021019392,6.904081001360393e-4,0.0021347720631948834,0.006112276390018907,0.16147202264036967,0.1111482535669578,2.779937745129176e-4
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,103,4.429392497978992e-6,-0.11821156248858482,-0.15554109251626522,0.13305721919219132,0.011944768090295996,5.043442277710183e-4,0.0016127679310797714,0.23637095537799227,0.15695990994539577,2.779937745129176e-4
WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,26,4.439219252335448e-6,0.10879388836707753,-0.34040462899547336,0.29601527762915647,0.2511432531222084,0.0014156117781800334,5.683984098385582e-5,0.4640436037458555,0.3270732471853054,2.779937745129176e-4
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,127,6.26468494824887e-6,0.17972619003185497,0.21438657757746735,-0.001059222096852062,4.02260345872263e-4,9.339873862601135e-5,0.8658029537659095,0.27975744848027967,0.11568751034623795,3.8378004748185467e-4
BIOCARTA_IL5_PATHWAY,11,7.326866196614543e-6,0.2803171333754215,-0.5176264613684388,0.4803194434121263,0.06289326402986838,0.0012551990069912923,3.811636971542706e-4,0.7597510226991211,0.5279853112352453,4.393001902565911e-4
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,107,9.217619533970718e-6,-0.12201470567880983,-0.13945737487359314,0.12319180772402605,0.008244321138015421,0.0012851017672223489,0.0021047593588203227,0.22251330139754316,0.14686449198893703,5.411510801401977e-4
WP_CELL_CYCLE,119,1.1616584797809338e-5,0.20570582558804637,0.21716123916276928,-0.035272786429810486,3.3894147799798813e-4,3.3281465436916185e-4,0.3751727736242034,0.30119438895519324,0.142551075774671,6.680721624536064e-4
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY,127,1.2584393692209438e-5,0.16625317231078063,0.2096335262174155,0.059400398240621315,0.0029734657882341904,1.022889430404806e-4,0.13931360135102022,0.27407068418364333,0.07731899634333642,7.092564284929239e-4
REACTOME_HCMV_INFECTION,158,1.5769881006893067e-5,-0.07707095574484887,-0.11228917183048491,0.09547642849995264,0.01112112395809479,5.428952804022712e-4,0.0069029740850311576,0.1663266025893248,0.11119012788511161,8.579064257861739e-4
KEGG_CELL_CYCLE,121,1.6123188027583295e-5,0.19964177894444676,0.214342868939091,-0.03026113177176271,4.397310704030825e-4,3.853465541087115e-4,0.3587429691918963,0.2944748570952224,0.13717542756544224,8.579064257861739e-4
WP_HISTONE_MODIFICATIONS,68,1.613521666666686e-5,-0.1714565736527744,-0.13045576200107323,0.13364312417981836,3.1569658539521404e-4,0.010487963122751786,0.013868657968848608,0.25352819789635284,0.16558739578423293,8.579064257861739e-4
KEGG_TYPE_I_DIABETES_MELLITUS,41,1.755934854796182e-5,-0.2719425145622557,-0.231451961264917,0.13905317077888024,6.829376061324512e-4,0.0019078160966004428,0.03694100762443919,0.3832212492849003,0.22650643520885755,9.138937108986401e-4
PID_EPO_PATHWAY,32,1.7890985420538764e-5,0.21778192340571453,0.22571634759765352,0.2966381469336083,0.036432383964153846,0.036410098691029895,5.9788077758618145e-5,0.43170710667224627,0.043418814465214284,9.138937108986401e-4
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,99,1.8161124134252608e-5,0.25200818497514077,0.1518595816228408,0.0559858715273548,1.6915966068647e-5,0.0212941826143567,0.21907301989459768,0.29950605275320646,0.0980189253922524,9.138937108986401e-4
REACTOME_PTEN_REGULATION,136,2.4097742364637638e-5,0.20161127633226192,0.2178046244061928,-0.023041605081122855,9.494521521239382e-4,2.485296199005728e-4,0.44252533676306427,0.297685869200674,0.13462172181551071,0.0011913585611148922
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,95,2.767983840982696e-5,0.14442091359470746,0.14336866548050264,0.16454317592304601,0.0192409958488969,0.03529888584207296,1.7309337903051095e-4,0.26169912355228225,0.011932955486003866,0.0013354400817122104
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,39,2.795988815508176e-5,-0.1921852932256123,-0.10259560780072118,-0.2769683599068732,0.027288883179372506,0.13272400867086018,4.1509111601440124e-5,0.3523812112779528,0.0871974166355514,0.0013354400817122104
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,70,2.851848105940949e-5,-0.23933827924267115,-0.1409068489331649,-0.0889993757831757,1.4480514521822153e-4,0.008782919787620283,0.08061059780514994,0.29164780279801783,0.0763598041456755,0.0013394179937569325
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,105,3.124768305279237e-5,-0.12980276007832178,-0.12322018102211493,0.09021561912775959,0.0017562905312301827,0.0014389010563844661,0.036877746827711236,0.20042661367612366,0.1251707222963364,0.001443540505619162
WP_IL3_SIGNALING_PATHWAY,48,3.45598514116241e-5,0.24370901830777633,0.06977681382386998,0.2337475862999043,0.0038292922001886627,0.5875540336507987,1.1646137963901038e-4,0.34481998702653865,0.09767126506012083,0.0015708009883541405
PID_TCR_PATHWAY,60,4.0709491469909345e-5,0.2835303512975103,0.01676118833241795,0.1609006233553509,1.4480909311073294e-4,0.8718719329649993,0.003343005388451642,0.326434385654062,0.13352903130842267,0.0018209420152730878
REACTOME_S_PHASE,158,4.194744244543799e-5,0.17346090985523038,0.16603720693277113,-0.05468083449946568,5.150106705522215e-4,0.0036283715494064496,0.07644193881960712,0.24626618727587873,0.12962781382093314,0.0018469983251756916
KEGG_ASTHMA,27,4.3963203896326214e-5,0.018446876469392217,-0.26234180545210867,0.3324351828349582,0.9001648612200915,0.0056613947157375865,8.64801113594326e-5,0.42388283867816723,0.2975428838070696,0.0019059739781514965
REACTOME_REPRODUCTION,141,5.16145846157923e-5,-0.12022379877693369,-0.15125846160438025,0.0018843943408768723,0.003514970611117379,1.2522867512961133e-4,0.9270085331193259,0.1932263826223333,0.08095914139282398,0.002203786355262162
KEGG_GRAFT_VERSUS_HOST_DISEASE,37,5.2820742245769505e-5,-0.2803526104545538,-0.2072748243028356,0.1550585919856435,8.983550744705966e-4,0.0074954886593401665,0.026476387774868305,0.38158040558580103,0.2331697459643707,0.0022216246514713206
WP_COVID19_ADVERSE_OUTCOME_PATHWAY,14,5.7873312363473154e-5,-0.012235246356087089,-0.3634446280378842,0.43039654103425623,0.8428349674652879,0.00618284908683693,1.0676677993220636e-4,0.5634561930063795,0.39779700239852295,0.0023983381505921666
KEGG_CHRONIC_MYELOID_LEUKEMIA,71,6.0197080713939696e-5,0.22241713073104782,0.2150014656277988,0.10148052404338509,0.0014410373822180578,0.0032227977892976983,0.04842294555580711,0.3255661331048634,0.06778355147607941,0.002458483673215682
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,70,6.146398750409055e-5,-0.23371841975658775,-0.14745180376971384,-0.06509882899839178,2.0501704812943427e-4,0.006488812450956676,0.20856550664695409,0.2839087735618972,0.08431736463601301,0.0024743645255218168
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,190,7.707938032803575e-5,-0.11555187609422364,-0.0684770477598144,0.09448344146931681,0.005674390353471215,0.009087378707672428,0.005300159017962735,0.16422077472317725,0.11021720611027509,0.0030592914614704894
REACTOME_MEIOSIS,115,8.133050147836065e-5,-0.14214591919572753,-0.14450821296887245,0.034398056029310904,0.0011765565916210495,8.09507677064157e-4,0.452120455102455,0.2055998837987291,0.1026164450002857,0.0031831854606391707
WP_CODEINE_AND_MORPHINE_METABOLISM,15,8.62496770367056e-5,-0.4318718784458242,-0.002816495295135246,-0.351668009164847,0.0014042138304889836,0.8242503079676919,7.672009592104729e-4,0.5569485081298263,0.2281149422211729,0.0033294738341018678
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,69,9.478567183383639e-5,-0.08576789767560494,-0.21407518175067347,0.11250408772535112,0.03288740017454231,3.1733626558479996e-4,0.03674029828662215,0.2565959576224661,0.1645339674115202,0.0036095408544290666
KEGG_CHEMOKINE_SIGNALING_PATHWAY,184,9.688042888671314e-5,0.02924529415814431,0.010890816589867024,0.14694832633689944,0.579373613892329,0.5565708334790944,5.662366450233647e-6,0.1502255228967648,0.07382697857089154,0.003640120648036768
KEGG_INSULIN_SIGNALING_PATHWAY,131,1.0541997473674842e-4,0.16027227534571076,0.1815415460417809,0.05244692767443301,0.002545615450208675,0.0010331109110079807,0.1888483995994443,0.24778057915465973,0.06921477198761575,0.0038611126736330294
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,54,1.0550236900984501e-4,-0.17793227365481815,-0.21296321269513135,0.11479421414194776,0.00860488361175102,9.38959746849644e-4,0.049995279440762305,0.3003180573489916,0.1799726341210146,0.0038611126736330294
REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION,59,1.128678410214831e-4,0.24197357757926344,0.32398761346573607,0.04019035286190051,0.012511760607700578,1.1773847750501741e-4,0.5308676180686469,0.40636738352000534,0.1460500239563867,0.004077712512801787
WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX,20,1.2468394563495795e-4,0.20719010372628888,-0.40072218566323403,0.21432771344475152,0.11708816213814043,3.3807028214770575e-4,0.02275314128369715,0.49944206662563506,0.35305681210820433,0.0044475868202444495
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,61,1.2730655320013592e-4,-0.15682045076050724,-0.19433706188129,0.11736250315969125,0.012801009585780622,0.0011787610191789403,0.033044013645364204,0.27592300474097764,0.1701667844484398,0.004484373336474788
PID_INTEGRIN2_PATHWAY,28,1.3238772472027024e-4,0.20721962096773752,-0.1923622627289062,0.2776933172561534,0.06369547877839608,0.02935185938185362,4.47047763322271e-4,0.39630391101391393,0.2535036067863732,0.004605785287181747
REACTOME_CYP2E1_REACTIONS,11,1.4264854702550586e-4,-0.7115835865981514,-0.04669706360751001,-0.08900615688340167,8.926277063572838e-6,0.6438636606036168,0.44726887886657196,0.7186472795666907,0.3722603935908834,0.004902239091681409
BIOCARTA_INFLAM_PATHWAY,27,1.5585795835180424e-4,0.13992131818067732,-0.28813206032955296,0.25100954933049596,0.14490911968335335,0.013165761836808471,5.517748957328321e-4,0.40694453347633286,0.2846764143200857,0.005291659357052824
REACTOME_REGULATION_OF_TP53_ACTIVITY,156,1.6001495327139446e-4,0.18072836464864123,0.1307944909848347,-0.03169381123977363,2.232174147168441e-4,0.014985073972287707,0.2720977322149612,0.22533184047412527,0.11106981356191947,0.005368120694271305
REACTOME_MRNA_SPLICING,181,1.6310894190820537e-4,0.04439536931070949,0.04598934016868036,-0.13676511302143254,0.49986363095773667,0.7750823989556108,9.796995097847988e-6,0.15096577216425616,0.10505621611207938,0.005370317435495765
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,45,1.6389187347503042e-4,0.1431862784607025,0.14217581058984496,0.23370735850114688,0.07818481726380955,0.15647667792541795,1.0373866535544633e-4,0.30876431282434325,0.05255649538044042,0.005370317435495765
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,152,1.6697691165145454e-4,0.1332818436513204,0.17554744293124605,-0.041746369165345104,0.0037902781342260086,0.0012169947604168084,0.1692231181808798,0.22432947622923605,0.11520840315109822,0.0054085165176298725
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,126,1.7008736118114258e-4,-0.09888939660669258,-0.12835955391402948,0.0780707600723232,0.011541589707123424,0.0012929922283644462,0.04778527623841299,0.17986197880740284,0.11165188590442256,0.005446661179641589
PID_BCR_5PATHWAY,60,1.904217810059482e-4,0.23126770624407528,0.12267410768056272,0.16283767660324489,0.0022463602477277244,0.1701293997299644,0.002970279416764265,0.3083014718877631,0.05490651278039987,0.006029309874997326
WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,83,1.9930850245890669e-4,0.22542531836398283,0.1892423629491139,0.02165727505576776,5.242132057185486e-4,0.00449084289697158,0.6426396328351806,0.29512418344979513,0.10871628475105401,0.006240570665879989
WP_IL5_SIGNALING_PATHWAY,38,2.0556374991685065e-4,0.2869939368062098,0.2079067355210742,0.172361813174842,0.002183867151398598,0.03802862068214401,0.012126258271156704,0.39408035358220506,0.0586781485165083,0.006365699420502034
KEGG_RIBOSOME,82,2.1021230633300224e-4,-0.16101287643205844,0.17814018717232602,-0.06440893914525293,0.002828596803083945,0.004933862514395263,0.1306373781458787,0.24861131129643632,0.17473179443982786,0.006438894339634786
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,120,2.1922363411161364e-4,0.08355273854223091,0.19777610945065155,0.09499133257774656,0.17846241143699063,5.137611398561401e-4,0.016864643389302526,0.23477606959023434,0.06290539225959996,0.006642711837919648
REACTOME_SIGNALING_BY_NTRKS,132,2.3204091868341307e-4,0.1460754371988357,0.19082080495903317,0.018809628063280084,0.00463916744569846,6.118834899550121e-4,0.6385603923354825,0.24104857407983832,0.08924365438504582,0.006956290519679341
REACTOME_INOSITOL_PHOSPHATE_METABOLISM,45,2.4954199553903786e-4,0.1744717022271666,0.330161228278416,0.11701398444316459,0.12907217586681463,1.9118760020762554e-4,0.07360403638318481,0.3913298916408285,0.11028173421557835,0.007402203615042196
REACTOME_ANTIMICROBIAL_PEPTIDES,95,2.6831821624276716e-4,-0.12014024044960925,-0.19481693465791128,-0.015286348287697133,0.04045557192175807,1.4959090205819882e-4,0.30229922205111437,0.22939264994495265,0.09018700830479509,0.007876257639292894
REACTOME_CIRCADIAN_CLOCK,69,2.7162605862874733e-4,0.20158749196722578,0.20925963122623714,0.09735815639095452,0.004961112948987704,0.004264084578191891,0.06445722036202887,0.30644040333223466,0.06250940753970827,0.007891157043461959
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX,19,2.9399461240068345e-4,0.49482030388322545,0.2523426009280832,-0.10136173945145863,1.2650198813674685e-4,0.06730239254320526,0.258592188356087,0.5646221069023625,0.2998152835854237,0.008378771242610062
WP_ALLOGRAFT_REJECTION,87,2.943571160462726e-4,-0.11262168587451184,-0.16435228799819449,0.09705059895628368,0.03287729754509081,9.261069005347954e-4,0.04771760920651714,0.2216170964912953,0.13842566689405345,0.008378771242610062
BIOCARTA_THELPER_PATHWAY,12,3.0382238584926306e-4,0.30584095786175636,-0.3910426487868478,0.33878278850262755,0.06541550097362003,0.006654400843483937,0.004887402126743849,0.601021482529241,0.41218464598937377,0.008551312587702996
BIOCARTA_MAPK_PATHWAY,78,3.0679356516761434e-4,0.16717515364015853,0.20126815863025627,0.10906031539022244,0.014575788661181381,0.004231572428891207,0.025683836280611518,0.2834617365113666,0.046622515606821194,0.008551312587702996
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,71,3.095223150978373e-4,0.25546173058493443,0.16715838103961828,0.048661940268475805,2.172004746600144e-4,0.028362413657865248,0.37255775476366637,0.3091449572222205,0.10376659810305243,0.008551312587702996
WP_CHEMOKINE_SIGNALING_PATHWAY,161,3.229780612869142e-4,0.01009446651535749,0.030060192435714405,0.14512125200716808,0.9415553774756772,0.9732938603619266,1.5719774091613217e-5,0.14854524969728866,0.0728810794393669,0.008836428900063342
PID_PDGFRB_PATHWAY,127,3.310890615568856e-4,0.09095396292625327,0.14556081966788467,0.12635220514902382,0.11484960360224475,0.020252936300383745,0.0010020048790265938,0.2131324830719093,0.02770052715321853,0.008971240148724073
KEGG_ALLOGRAFT_REJECTION,34,0.00033929123616998936,-0.22330614213670125,-0.2479366301382538,0.1370522413270621,0.010125176377616766,0.002640992338817904,0.061214855099022,0.36072360961414923,0.21551537324281875,0.009105930509781238
